도서관명,도서명,저자,출판사,출판연도,데이터기준일
가양도서관,우리 반 갑질 해결사 : 크리에이터가 또 간다,최은영,개암나무,2021,2022-03-31
가양도서관,용기는 파도를 넘어,"스퍼리, 암스트롱",열린어린이,2006,2022-03-31
가양도서관,완벽한 세계에 입장하시겠습니까?,박현숙,살림어린이,2020,2022-03-31
가양도서관,오홍홍홍 홍콩 할매,조영서,우리학교,2021,2022-03-31
가양도서관,시골은 시골로 남겨 둬야 해 : 자연을 그리고 가꾸고 지켜 낸 베아트릭스 포터,"마셜, 린다 에볼비츠",을파소,2019,2022-03-31
가양도서관,쉿!,"칼리, 다비드",책빛,2021,2022-03-31
가양도서관,오늘 밤 코끼리와 모험을 떠날 거예요,"셰르츠, 올리버",책속물고기,2020,2022-03-31
가양도서관,열네 살의 여름,"바이어스, 베치",소년한길,2008,2022-03-31
가양도서관,사금파리 한 조각 . 2,"박, 린다 수",서울문화사,2011,2022-03-31
가양도서관,사금파리 한 조각 . 1,"박, 린다 수",서울문화사,2011,2022-03-31
가양도서관,블랙 걸 : 역사의 뒤안길에 숨어야 했던 클로뎃 콜빈,"플라토, 에밀리",밝은미래,2020,2022-03-31
가양도서관,불만 왕 뽑기 대회,정복현,리틀씨앤톡,2021,2022-03-31
가양도서관,북극곰 고미의 환경 NGO 활동기,박하나,책내음,2020,2022-03-31
가양도서관,별똥 맛의 비밀 : 은이결 장편동화,은이결,별숲,2020,2022-03-31
가양도서관,밤의 교실,김규아,샘터,2020,2022-03-31
가양도서관,"바다의 생물, 플라스틱","페구, 아나",살림,2020,2022-03-31
가양도서관,미스 히코리,"베일리, 캐롤린",한림,2013,2022-03-31
가양도서관,먼 곳에서 온 이야기들,"탠, 숀",사계절,2018,2022-03-31
가양도서관,루스 베이더 긴즈버그의 정의를 향한 여정 : RBG가 되기까지,"레비, 데비",북극곰,2021,2022-03-31
가양도서관,로켓보이,"제닝스, 케이트",찰리북,2020,2022-03-31
가양도서관,오늘은 돈가스 카레라이스,오승민,한울림스페셜,2021,2022-03-31
가양도서관,두리틀 박사의 바다 여행,"로프팅, 휴",주니어김영사,2020,2022-03-31
가양도서관,대단한 실수,김주현,만만한책방,2021,2022-03-31
가양도서관,느릴 마을 이야기,서지연,웅진주니어,2021,2022-03-31
가양도서관,노벨트에선 평범한 건 없어,"갠토스, 잭",찰리북,2013,2022-03-31
가양도서관,여기는,사이하테 타히,북스토리,2021,2022-03-31
가양도서관,노랑가방,"누니스, 리지아 보중가",비룡소,2009,2022-03-31
가양도서관,널 잊지 않을게,"해럴드, A .F.",가람어린이,2020,2022-03-31
가양도서관,냥이를 위해 건배!,"네빌, 에밀리 체니",열린어린이,2008,2022-03-31
가양도서관,내가 좋아하는 것,민느,어린이작가정신,2011,2022-03-31
가양도서관,증기기관차 대륙을 달리다,"플로카, 브라이언",너머학교,2020,2022-03-31
가양도서관,제미 버튼 : 문명을 거부한 소년,"바즐레이, 앨릭스",다섯수레,2013,2022-03-31
가양도서관,내가 만만해?,이지호,어린이시나라,2020,2022-03-31
가양도서관,내 이웃의 동물들에게 월세를 주세요,마승애,노란상상,2020,2022-03-31
가양도서관,내 이름을 들려줄게,조연화,단비어린이,2021,2022-03-31
가양도서관,"나의 첫 질문 책 : 있잖아, 궁금한 게 있어!","라이틀, 레오노라",우리학교,2020,2022-03-31
가양도서관,나무정령 톰티,"블라존, 니나",여유당,2021,2022-03-31
가양도서관,잠을 자요,"스콤스볼, 셰르스티 안네스다테르",책빛,2021,2022-03-31
가양도서관,나는 바다 위를 떠도는 꼬마 난민입니다,"글라타우어, 니콜라우스",우리학교,2019,2022-03-31
가양도서관,"기다려, 오백원!",우성희,단비어린이,2020,2022-03-31
가양도서관,그림 그리는 여우 : 꼬리 휘날리게 재미있는 세 편의 이야기,"판눌라, 카이야",우리학교,2021,2022-03-31
가양도서관,푸른 돌고래 섬,"오델, 스콧",우리교육,2011,2022-03-31
가양도서관,이렇게 멋진 꼬리 봤어?,"스몰, 데이비드",우리학교,2021,2022-03-31
가양도서관,"이것저것들의 하루 . 2 , 바퀴, 파라오 그리모 매머드의 하루","바필드, 마이크",위즈덤하우스,2021,2022-03-31
가양도서관,"판타지 버그 . 1 , 형광 바이러스가 나타났다","드락, 다니엘",분홍고래,2021,2022-03-31
가양도서관,이 뼈를 모두 누가 찾았게? : 최초의 고생물학자 메리 애닝,"스키어스, 린다",씨드북,2020,2022-03-31
가양도서관,티나의 종이집 : 김개미 시,김개미,천개의바람,2021,2022-03-31
가양도서관,트럼펫을 부는 백조,"화이트, 엘윈 브룩스",산수야,2020,2022-03-31
가양도서관,퀴즈 왕들의 비밀,"코닉스버그, E. L.",보물창고,2015,2022-03-31
가양도서관,콩알탄 삼촌사 : 사라진 동수를 찾아라!,하신하,논장,2020,2022-03-31
가양도서관,나는 태극기입니다 : 태극기가 들려주는 우리 역사 이야기,임정은,그레이트북스,2021,2022-03-31
가양도서관,금이 잉카제국을 멸망시켰다고? : 역사를 바꾼 광물 이야기,이은정,가교,2016,2022-03-31
가양도서관,헨쇼 선생님께,"클리어리, 비벌리",보림,2011,2022-03-31
가양도서관,소녀들을 위한 내 마음 안내서,"리버스, 로렌",휴머니스트,2021,2022-03-31
가양도서관,크라운 : 내가 최고가 되는 순간,"반스, 데릭",삼성당,2021,2022-03-31
가양도서관,초등학생이 알아야 할 바다 100가지,"마틴, 제롬",어스본코리아,2021,2022-03-31
가양도서관,초딩 인생 처음 물리 : 초딩의 눈높이로 배우는 세상의 모든 물리,리용러,의미와재미,2021,2022-03-31
가양도서관,향기를 만드는 말의 정원,김주현,노란상상,2021,2022-03-31
가양도서관,해방자 신데렐라,"솔닛, 리베카",반비,2021,2022-03-31
가양도서관,하민이의 그림 그리고 싶은 날,김하민,주니어김영사,2020,2022-03-31
가양도서관,치킨드림,장세정,한장두장,2021,2022-03-31
가양도서관,하늘을 접어 너에게,노나카 히라기,우리학교,2021,2022-03-31
가양도서관,하나의 작은 친절 : 마르타 바르톨 그림책,"바르톨, 마르타",소원나무,2021,2022-03-31
가양도서관,차곡차곡,서선정,시공주니어,2021,2022-03-31
가양도서관,째깍째깍 변신로봇,나두나,책고래,2017,2022-03-31
가양도서관,문화재를 지킨 사람들 : 잊힌 역사의 조각들을 되찾다,안민영,책과함께어린이,2020,2022-03-31
가양도서관,35 : 그 전에 꼭 알아야 할 두 나라 역사,이윤희,하마,2020,2022-03-31
가양도서관,도망치고 찾고,요시타케 신스케,주니어김영사,2021,2022-03-31
가양도서관,좀 더럽지만 꽤 재밌는 내 몸 도감 : 눈에 보이는 것 편,나가미네 에이타로,책읽는곰,2021,2022-03-31
가양도서관,(처음 읽는)상대성 이론,"페론, 세다드 카이드-살라",두레아이들,2021,2022-03-31
가양도서관,스쿨 오브 뮤직,"보엔, 메이리그",길벗어린이,2021,2022-03-31
가양도서관,나에게 초능력이 있다면,"이세른, 수산나",우리학교,2021,2022-03-31
가양도서관,문어의 방,"달레, 그로",위고,2021,2022-03-31
가양도서관,이 뼈를 모두 누가 찾았게? : 최초의 고생물학자 메리 애닝,"스키어스, 린다",씨드북,2020,2022-03-31
가양도서관,에베레스트 : 지구상에서 가장 높은 산 이야기,"프랜시스, 상마",찰리북,2019,2022-03-31
가양도서관,국경,구돌,책읽는곰,2021,2022-03-31
가양도서관,히글티 피글티 팝!,"샌닥, 모리스",시공주니어,2018,2022-03-31
가양도서관,히말라야의 메시수나칼리,"모르방, 제니퍼 보름 르",풀빛,2020,2022-03-31
가양도서관,세계 음식 한입에 털어 넣기,김인혜,사계절,2020,2022-03-31
가양도서관,해치 : 정의와 생명을 지키는 수호신,임어진,도토리숲,2021,2022-03-31
가양도서관,들썩들썩 동화의 집,"베일리, 게리",개암나무,2017,2022-03-31
가양도서관,두근두근 고대의 집,"테일러, 서랜느",개암나무,2017,2022-03-31
가양도서관,도시는 어떻게 만들까?,"오터, 이사벨",찰리북,2021,2022-03-31
가양도서관,하늘에는 얼마나 많은 별이 있을까요? : 에드윈 허블의 발견,"마리노프, 이사벨",키다리,2021,2022-03-31
가양도서관,건축가들의 집을 거닐어요,"코르니유, 디디에",톡,2015,2022-03-31
가양도서관,조개는 왜 껍데기가 있을까?,"스튜어트, 멜리사",다섯수레,2020,2022-03-31
가양도서관,"피노키오, 어쩌면 모두 지어낸 이야기","마셰크, 보이테흐",우리학교,2020,2022-03-31
가양도서관,우리는 우주 어디쯤 있을까?,"친, 제이슨",봄의정원,2021,2022-03-31
가양도서관,우리는 물이야 : 빅 히스토리로 시작하는 화학 공부,이정모,아이들은자연이다,2020,2022-03-31
가양도서관,오! 이토록 환상적인 우리 몸,"아이스만, 소냐",우리학교,2020,2022-03-31
가양도서관,펜으로 만든 괴물 : 메리 셸리는 어떻게 프랑켄슈타인을 만들었을까요?,"풀턴, 린",씨드북,2019,2022-03-31
가양도서관,(어린이를 위한)종의 기원,"다윈, 찰스",달리,2020,2022-03-31
가양도서관,"생명에게 배운다 . 2 , 알아 간다는 것",이원영,낮은산,2020,2022-03-31
가양도서관,"수학탐정스 : 수상한 수학 추리 동화 . 3 , 숨겨진 보물을 찾아라!",조인하,아이세움,2019,2022-03-31
가양도서관,나의 왕국,"크라우더, 키티",책빛,2021,2022-03-31
가양도서관,"과학의 관점 . 1 , 관찰하기",NHK 과학의 관점 제작진,유나,2021,2022-03-31
가양도서관,"과학의 관점 . 2 , 예상하기",NHK 과학의 관점 제작진,유나,2021,2022-03-31
가양도서관,"과학의 관점 . 3 , 실험하기",NHK 과학의 관점 제작진,유나,2021,2022-03-31
가양도서관,"수달 씨, 작가 되다",윤여림,천개의바람,2021,2022-03-31
가양도서관,재민이의 아주 특별한 점,김경미,주니어김영사,2021,2022-03-31
가양도서관,"운동장 아래 100층 학교 . 4 , 숨겨진 교실의 비밀",최은옥,주니어김영사,2021,2022-03-31
가양도서관,"호텔 플라밍고 . 3 , 카니발 대소동","밀웨이, 알렉스",봄의정원,2021,2022-03-31
가양도서관,"호텔 플라밍고 . 4 , 최고의 셰프","밀웨이, 알렉스",봄의정원,2021,2022-03-31
가양도서관,놀라운 탈출 마술,"이건, 케이트",국민서관,2017,2022-03-31
가양도서관,마술사가 사라지는 마술,"이건, 케이트",국민서관,2017,2022-03-31
가양도서관,"호텔 플라밍고 . 1 , 새로운 출발","밀웨이, 알렉스",봄의정원,2021,2022-03-31
가양도서관,"호텔 플라밍고 . 2 , 펭귄 왕의 방문","밀웨이, 알렉스",봄의정원,2021,2022-03-31
가양도서관,악당 스파이 스쿨 . 2,"깁스, 스튜어트",주니어RHK,2021,2022-03-31
가양도서관,"미래가 온다, 스마트 시티",김성화,와이즈만Books,2021,2022-03-31
가양도서관,"미래가 온다, 신소재",김성화,와이즈만BOOKS,2021,2022-03-31
가양도서관,"미래가 온다, 기후 위기",김성화,와이즈만Books,2021,2022-03-31
가양도서관,"미래가 온다, 플라스틱",김성화,와이즈만BOOKS,2021,2022-03-31
가양도서관,"미래가 온다, 서기 10001년",김성화,와이즈만BOOKS,2020,2022-03-31
가양도서관,"미래가 온다, 미래 에너지",김성화,와이즈만Books,2020,2022-03-31
가양도서관,"(이사도라 문)마녀 요정 미라벨 . 2 , 규칙을 깨다","먼캐스터, 해리엇",을파소,2021,2022-03-31
